TITLE "Generated by Foundry::LUT"
LUT_3D_SIZE 32
0.000000 0.000000 0.000000
0.014786 0.000000 0.000000
0.038849 0.000000 0.000000
0.066589 0.000000 0.000000
0.096863 0.000000 0.000000
0.128540 0.000000 0.000000
0.160767 0.000000 0.000000
0.193237 0.000000 0.000000
0.226929 0.000000 0.000000
0.260986 0.000000 0.000000
0.295166 0.000000 0.000000
0.328857 0.000000 0.000000
0.362793 0.000000 0.000000
0.397705 0.000000 0.000000
0.432373 0.000000 0.000000
0.466309 0.000000 0.000000
0.499756 0.000000 0.000000
0.533203 0.000000 0.000000
0.566895 0.000000 0.000000
0.600586 0.000000 0.000000
0.634766 0.000000 0.000000
0.668945 0.000000 0.000000
0.703125 0.000000 0.000000
0.736816 0.000000 0.000000
0.771484 0.000000 0.000000
0.805664 0.000000 0.000000
0.839844 0.000000 0.000000
0.874023 0.000000 0.000000
0.907715 0.000000 0.000000
0.940430 0.000000 0.000000
0.972168 0.000000 0.000000
1.000000 0.000000 0.000000
0.000000 0.012497 0.000000
0.014786 0.012497 0.000000
0.038849 0.012497 0.000000
0.066589 0.012497 0.000000
0.096863 0.012497 0.000000
0.128540 0.012497 0.000000
0.160767 0.012497 0.000000
0.193237 0.012497 0.000000
0.226929 0.012505 0.000000
0.260986 0.012505 0.000000
0.295166 0.012505 0.000000
0.328857 0.012505 0.000000
0.362793 0.012505 0.000000
0.397705 0.012505 0.000000
0.432373 0.012505 0.000000
0.466309 0.012505 0.000000
0.499756 0.012505 0.000000
0.533203 0.012505 0.000000
0.566895 0.012505 0.000000
0.600586 0.012505 0.000000
0.634766 0.012505 0.000000
0.668945 0.012505 0.000000
0.703125 0.012505 0.000000
0.736816 0.012505 0.000000
0.771484 0.012505 0.000000
0.805664 0.012505 0.000000
0.839844 0.012505 0.000000
0.874023 0.012512 0.000000
0.907715 0.012512 0.000000
0.940430 0.012512 0.000000
0.972168 0.012512 0.000000
1.000000 0.012512 0.000000
0.000000 0.034027 0.000000
0.014786 0.034027 0.000000
0.038849 0.034027 0.000000
0.066589 0.034027 0.000000
0.096863 0.034027 0.000000
0.128540 0.034027 0.000000
0.160767 0.034027 0.000000
0.193237 0.034027 0.000000
0.226929 0.034027 0.000000
0.260986 0.034027 0.000000
0.295166 0.034027 0.000000
0.328857 0.034027 0.000000
0.362793 0.034027 0.000000
0.397705 0.034027 0.000000
0.432373 0.034027 0.000000
0.466309 0.034027 0.000000
0.499756 0.034027 0.000000
0.533203 0.034027 0.000000
0.566895 0.034027 0.000000
0.600586 0.034027 0.000000
0.634766 0.034027 0.000000
0.668945 0.034027 0.000000
0.703125 0.034027 0.000000
0.736816 0.034027 0.000000
0.771484 0.034027 0.000000
